Distance,Distance_rs,Distance_36k,Line,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip,filt_clip_oib,misfit,abs_misfit
201022.5462164172,223000.0,216000.0,590.0,-701.921187623874,5.82866345274706,15163.705827900001,134992.808107618,-1030351.224891135,-6457.310058335221,-6457.310058335221,-3261.4571463061257,1.0,103.0,-2747.2217887807537,-2913.8484146294236,-2913.8484146294236,-4990.4129965024695,-2076.564581873046,2076.564581873046
203000.0,,,,,,,,,,,,,,,,,-4949.901856831196,,
207921.47290078056,228000.0,216000.0,590.0,-726.986802473939,10.141423717895425,21522.679239600002,128091.281679253,-1030352.237247535,-8359.375732097415,-8359.375732097415,-2886.5039984309387,1.0,103.0,-2568.4324107417406,-2732.2089469564366,-2732.2089469564366,-4844.689365085354,-2112.480418128918,2112.480418128918
208000.0,,,,,,,,,,,,,,,,,-4739.476873339513,,
213000.0,,,,,,,,,,,,,,,,,-4489.902084764798,,
213243.94511688524,233000.0,216000.0,590.0,-744.040546301343,8.286904273335526,19321.49613555,122766.84766360775,-1030355.736372615,-7536.51867646187,-7536.51867646187,-2457.9861151450114,1.0,103.0,-2448.2177223578155,-2586.4246527565633,-2586.4246527565633,-4397.412837986017,-1810.9881852294534,1810.9881852294534
217352.19763942942,238000.0,216000.0,590.0,-754.70646333364,4.039167177499795,17609.4648324,118657.1628143895,-1030357.80770818,-6472.593993881565,-6472.593993881565,-2437.094305508839,1.0,103.0,-2386.57772362898,-2495.4973092001837,-2495.4973092001837,-4304.9235912072345,-1809.4262820070508,1809.4262820070508
218000.0,,,,,,,,,,,,,,,,,-4212.434344428453,,
223000.0,,,,,,,,,,,,,,,,,-3918.330505651884,,
223086.36824802656,243000.0,216000.0,590.0,-764.617143272857,2.4090155769470503,19566.072035999998,112921.172661171,-1030357.042886945,-4105.787841619869,-4105.787841619869,-2526.6307881606535,1.0,103.0,-2383.512414555234,-2462.763699027637,-2462.763699027637,-3818.5028110200874,-1355.7391119924505,1355.7391119924505
227882.49959470058,248000.0,216000.0,590.0,-771.023449683021,2.103924951687305,13696.2504252,108123.546051121,-1030358.1901193149,-4560.398437307234,-4560.398437307234,-2623.2359404955064,1.0,103.0,-2439.021795136577,-2475.271309016222,-2475.271309016222,-3718.675116388291,-1243.403807372069,1243.403807372069
228000.0,,,,,,,,,,,,,,,,,-3618.8474217564944,,
233000.0,,,,,,,,,,,,,,,,,-3325.2419460636884,,
234000.0,,,,,,,,,,,,,,,,,-3232.7847585855116,,
234404.1077170395,253000.0,234000.0,590.0,-774.8003465176745,1.7278121363560799,18098.6166333,101600.00909282675,-1030359.4915608449,-5759.2724607031705,-5759.2724607031705,-2630.3046101785444,1.0,91.0,-2550.820127745474,-2513.9723256031425,-2513.9723256031425,-3140.327571107335,-626.3552455041927,626.3552455041927
238000.0,,,,,,,,,,,,,,,,,-3047.8703836291584,,
240444.13549291453,258000.0,252000.0,590.0,-778.2423046985492,1.2437986373742824,15652.8576288,95558.36305036789,-1030357.4725438625,-4353.417785458937,-4353.417785458937,-2634.4280008269834,1.0,79.0,-2643.4780706732504,-2559.8189352256018,-2559.8189352256018,-2918.34912982956,-358.5301946039581,358.5301946039581
243000.0,,,,,,,,,,,,,,,,,-2788.8278760299613,,
243526.98333666899,263000.0,252000.0,590.0,-780.2617043252565,1.2359395779652549,14185.402226100001,92474.72773798325,-1030356.112903725,-3789.318969560525,-3789.318969560525,-2635.017056633903,1.0,79.0,-2680.423821879338,-2593.7633243208033,-2593.7633243208033,-2709.3710155396525,-115.60769121884914,115.60769121884914
246609.85087858568,268000.0,252000.0,590.0,-782.2811039519638,1.2280805185562276,12717.946823400001,89391.09242559862,-1030354.7532635875,-3225.2201536621124,-3225.2201536621124,-2635.6061124408225,1.0,79.0,-2661.6573813637356,-2596.757679325951,-2596.757679325951,-2629.9141550493437,-33.15647572339276,33.15647572339276
248000.0,,,,,,,,,,,,,,,,,-2550.457294559035,,
252960.23938793855,273000.0,252000.0,590.0,-787.713642860556,7.24328817222176,23479.2864432,83039.1617025923,-1030352.84569476,-6430.709960679895,-6430.709960679895,-2560.2624930726543,1.0,79.0,-2587.1787491264445,-2550.135142949504,-2550.135142949504,-2443.3306663678077,106.80447658169624,106.80447658169624
253000.0,,,,,,,,,,,,,,,,,-2336.204038176581,,
257473.15447032682,278000.0,252000.0,590.0,-791.9939284994344,3.605513750935085,10272.1878189,78525.1801959394,-1030352.2609803351,-3987.56957990522,-3987.56957990522,-1933.9513058505158,1.0,79.0,-2456.9879251674633,-2447.800414851368,-2447.800414851368,-2242.8587720096925,204.94164284167528,204.94164284167528
258000.0,,,,,,,,,,,,,,,,,-2149.513505842804,,
263000.0,,,,,,,,,,,,,,,,,-1993.8310965179044,,
264954.29798382474,283000.0,252000.0,590.0,-796.251261830379,11.275806899883646,25435.8936468,71042.32233209525,-1030352.5531075201,-8665.61645474304,-8665.61645474304,-1860.8816673412664,1.0,79.0,-2271.084909486793,-2298.3272343509448,-2298.3272343509448,-1933.2166528399953,365.1105815109495,365.1105815109495
268000.0,,,,,,,,,,,,,,,,,-1872.6022091620864,,
268258.4335554717,288000.0,270000.0,590.0,-797.185780447071,3.108478487864685,25435.8936468,67737.4485300519,-1030353.235802145,-4623.600341601916,-4623.600341601916,-1850.4431475542306,1.0,74.0,-2029.4697020844333,-2118.8630800870387,-2118.8630800870387,-1844.8025843601738,274.06049572686493,274.06049572686493
270000.0,,,,,,,,,,,,,,,,,-1817.0029595582612,,
273000.0,,,,,,,,,,,,,,,,,-1789.2033347563486,,
273414.6633529325,293000.0,288000.0,590.0,-794.262719850152,2.7019774436871398,21522.679239600002,62580.10800408575,-1030354.024537245,-3774.89282210009,-3774.89282210009,-1746.057949683874,1.0,69.0,-1783.584738876798,-1926.555430698455,-1926.555430698455,-1766.9701678621518,159.58526283630317,159.58526283630317
278000.0,,,,,,,,,,,,,,,,,-1744.737000967955,,
278128.80178694316,298000.0,288000.0,590.0,-786.5503246183096,2.452976425484165,9783.036018,57865.03224517945,-1030352.646357835,-2883.5166014278702,-2883.5166014278702,-1474.6564352209473,1.0,69.0,-1584.872455780301,-1738.5517648239982,-1738.5517648239982,-1740.9119549308448,-2.3601901068466304,2.3601901068466304
282636.11037518585,303000.0,288000.0,590.0,-775.2812965111245,3.33407018847145,13696.2504252,53356.82011864175,-1030353.18158327,-4726.691650192095,-4726.691650192095,-1443.3408758598405,1.0,69.0,-1433.332852794942,-1571.9995611024724,-1571.9995611024724,-1737.0869088937343,-165.0873477912619,165.0873477912619
283000.0,,,,,,,,,,,,,,,,,-1733.261862856624,,
287905.7547589162,308000.0,288000.0,590.0,-758.2140194919571,1.9453168507397551,17120.3130315,48086.235373261006,-1030349.6755059101,-4084.38256818311,-4084.38256818311,-1400.593434314158,1.0,69.0,-1328.9659299207215,-1444.0462981726826,-1444.0462981726826,-1738.0785466992077,-294.0322485265251,294.0322485265251
288000.0,,,,,,,,,,,,,,,,,-1742.8952305417913,,
292696.4955383661,313000.0,288000.0,590.0,-741.94025068106,3.9102194331310747,20544.3756378,43294.743177733646,-1030342.609870505,-8381.17773404979,-8381.17773404979,-1447.9820434569383,1.0,69.0,-1271.7716871576392,-1363.2657153540313,-1363.2657153540313,-1752.3248223423416,-389.0591069883103,389.0591069883103
293000.0,,,,,,,,,,,,,,,,,-1761.7544141428916,,
298000.0,,,,,,,,,,,,,,,,,-1777.956723779361,,
298191.8643942934,318000.0,288000.0,590.0,-720.4480579663134,2.328091427873825,16631.161230600002,37798.480874481946,-1030337.77894487,-7410.894775099035,-7410.894775099035,-1466.9374871140503,1.0,69.0,-1261.750124505695,-1328.307686163898,-1328.307686163898,-1778.5109723764522,-450.2032862125541,450.2032862125541
302784.99011952674,323000.0,306000.0,590.0,-703.561182650885,1.4428213443396198,10272.187818900002,33204.57584463375,-1030336.850560545,-4173.615844547205,-4173.615844547205,-1471.6763480283284,1.0,79.0,-1298.9012419648889,-1335.0374482492598,-1335.0374482492598,-1779.0652209735435,-444.02777272428375,444.02777272428375
303000.0,,,,,,,,,,,,,,,,,-1779.6194695706347,,
306000.0,,,,,,,,,,,,,,,,,-1771.3663002591395,,
307659.7301186557,328000.0,324000.0,590.0,-686.084240429094,6.727741745283,15652.8576288,28329.03028522745,-1030336.08162955,-9321.519775032779,-9321.519775032779,-1481.1540698568845,1.0,89.0,-1375.1242806395019,-1379.2358563519294,-1379.2358563519294,-1763.113130947644,-383.87727459571465,383.87727459571465
308000.0,,,,,,,,,,,,,,,,,-1754.859961636149,,
312594.34291584627,333000.0,324000.0,590.0,-671.660676305379,3.60200952227579,24457.590044999997,23393.64133049645,-1030334.53838474,-3340.7843016073302,-3340.7843016073302,-1504.8483744282746,1.0,89.0,-1473.7114253071127,-1456.6837652137194,-1456.6837652137194,-1726.2984083358842,-269.6146431221648,269.6146431221648
313000.0,,,,,,,,,,,,,,,,,-1697.7368550356198,,
318000.0,,,,,,,,,,,,,,,,,-1614.3627266614349,,
318211.90611488064,338000.0,324000.0,590.0,-656.7024393253489,5.39338233002244,16631.161230600002,17775.205653345452,-1030333.816611855,-5236.87890603378,-5236.87890603378,-1571.1924272281667,1.0,89.0,-1594.1563785367387,-1563.162029576443,-1563.162029576443,-1568.91003495398,-5.748005377536856,5.748005377536856
323000.0,,,,,,,,,,,,,,,,,-1523.457343246525,,
323068.78046407085,343000.0,324000.0,590.0,-648.2803029938345,18.666149881036468,18098.6166333,12917.64494852525,-1030330.68296693,-8804.531371730434,-8804.531371730434,-1720.2922816412956,1.0,89.0,-1736.4591403283798,-1694.451504181913,-1694.451504181913,-1483.7899254130607,210.66157876885222,210.66157876885222
328000.0,,,,,,,,,,,,,,,,,-1444.1225075795962,,
