Distance,Distance_36k,Line,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
63000.0,36000.0,80.0,-800.434445071719,1.909322531377275,11330.5341078,-209904.6480208385,-520365.704740257,-2445.6401365993,-2445.6401365993,-2441.318234697328,0.0,211.0,-2073.1453249819615,-2097.8512545567387,-2097.8512545567387
68000.0,36000.0,80.0,-798.2236457353305,7.447822811902565,19723.5223358,-216156.4027770935,-520371.252047539,-9417.812255498215,-9417.812255498215,-2480.0163583897565,0.0,211.0,-2164.0394798217994,-2169.612771125296,-2169.612771125296
73000.0,72000.0,80.0,-797.544428943984,6.306153634361236,22661.0682156,-220908.6730778445,-520372.7450508835,-7535.09448212598,-7535.09448212598,-2583.211354902898,0.0,107.0,-2293.198911204199,-2279.6395642364146,-2279.6395642364146
78000.0,72000.0,80.0,-804.40344516179,3.50413307289502,12589.482342,-226049.531715309,-520357.661047064,-5230.960449002735,-5230.960449002735,-2647.7082277236123,0.0,107.0,-2460.62361912916,-2427.931633890095,-2427.931633890095
18000.0,0.0,80.0,-717.3455351480716,12.23761169063252,20982.470569999998,-166457.4490286195,-520260.9848828195,-7995.681152031886,-7995.681152031886,-2977.035375838694,1.0,75.0,,,
54000.0,36000.0,80.0,-806.111270840809,6.847177863436125,18044.9246902,-201917.7363347595,-520362.80740300997,-6211.56103490624,-6211.56103490624,-2005.964343157509,1.0,211.0,,,
90000.0,72000.0,80.0,-881.251158297075,3.2446171608760697,21821.7693928,-237855.85702760948,-520320.343404981,-6198.955322016055,-6198.955322016055,-3018.5652464427176,1.0,107.0,,,
33000.0,0.0,100.0,-790.6369967185605,5.53130402709667,15529.254389999998,-222923.9879924775,-540318.168302682,-5311.61181618744,-5311.61181618744,-2601.188776644204,0.0,93.0,-2739.996520696895,-2691.6270348827156,-2691.6270348827156
38000.0,36000.0,100.0,-786.0348449133495,23.0813284431884,21540.57867,-215761.2281721245,-540392.493936527,-10327.5771480448,-10327.5771480448,-2646.178224582356,0.0,85.0,-2788.387397841996,-2746.610834002807,-2746.610834002807
43000.0,36000.0,100.0,-780.5684711565725,31.529939323414553,21039.63498,-210795.94813320698,-540641.046094784,-11631.12353471835,-11631.12353471835,-2727.15923087103,0.0,85.0,-2823.592431037119,-2788.408789172919,-2788.408789172919
48000.0,36000.0,100.0,-779.8437302009991,13.15048390615909,16030.198079999998,-205746.686874418,-540579.6210976645,-7208.4760739341655,-7208.4760739341655,-2838.133202451805,0.0,85.0,-2845.611620282262,-2817.020900393051,-2817.020900393051
53000.0,36000.0,100.0,-787.0637557177955,20.59731319092345,19035.86022,-200643.827380237,-540509.3169071369,-12910.09960889275,-12910.09960889275,-2850.1303885686457,0.0,85.0,-2854.444965577426,-2832.4471676632043,-2832.4471676632043
58000.0,36000.0,100.0,-799.473578325238,18.80221874740255,19536.80391,-196552.37896989,-540460.9626722115,-13039.35644482575,-13039.35644482575,-2846.2644391254175,0.0,85.0,-2850.09246692261,-2834.6875909833793,-2834.6875909833793
63000.0,36000.0,100.0,-811.2147912150235,2.038964640823705,14026.42332,-191575.6314785695,-540408.6560672855,-4357.45068340802,-4357.45068340802,-2836.2265660409657,0.0,85.0,-2832.5541243178154,-2823.7421703535742,-2823.7421703535742
68000.0,36000.0,100.0,-804.7473338870485,4.08849911166985,8015.099039999999,-184313.3969047575,-540339.9023664589,-5032.242431431499,-5032.242431431499,-2819.4967775668797,0.0,85.0,-2801.829937763042,-2799.61090577379,-2799.61090577379
73000.0,48000.0,100.0,-805.1324142900106,15.725004155930499,7180.192889999999,-180356.927081793,-540297.4604828696,-5943.92578100927,-5943.92578100927,-2816.7084794878656,0.0,113.0,-2757.919907258289,-2762.293797244027,-2762.293797244027
78000.0,60000.0,100.0,-802.2046405216644,26.977426024436845,8850.00519,-178017.942683133,-540272.5622187423,-7151.08691377992,-7151.08691377992,-2815.5931602562596,0.0,141.0,-2700.824032803557,-2711.790844764284,-2711.790844764284
18000.0,0.0,100.0,-706.1674152460715,7.22131992353088,23043.40974,-236504.0850063935,-540364.7621377825,-7756.732177430775,-7756.732177430775,-2515.7088255617155,1.0,93.0,,,
54000.0,36000.0,100.0,-789.19323655436,21.3594334427728,18534.91653,-199602.49230418302,-540496.4428729829,-12966.8193354533,-12966.8193354533,-2854.629333362461,1.0,85.0,,,
90000.0,72000.0,100.0,-765.7404907660734,31.7548946471615,23043.40974,-163744.5136026045,-540117.598952855,-5645.742431410235,-5645.742431410235,-2509.9956907962846,1.0,169.0,,,
33000.0,0.0,110.0,-722.1769972002025,27.46083548489317,14718.314117,-217327.022157308,-550266.439877408,-5447.054687276495,-5447.054687276495,-2583.7101362199774,0.0,89.0,-3211.443239044845,-3041.456551804564,-3041.456551804564
38000.0,36000.0,110.0,-751.5987495684114,105.5424569861193,22331.235212,-211676.0289724425,-550267.8468629115,-11204.496581608124,-11204.496581608124,-2854.5198806120015,0.0,184.0,-3377.640959260615,-3231.350952147351,-3231.350952147351
43000.0,36000.0,110.0,-758.4347439575374,29.397581248441497,23853.819431,-206544.690657011,-550268.999634971,-8300.581054365075,-8300.581054365075,-3356.5086750947785,0.0,184.0,-3496.445319222351,-3373.8519922361043,-3373.8519922361043
48000.0,36000.0,110.0,-763.4617001103929,21.41363664699525,16748.426409,-201788.420134075,-550266.7869237014,-8173.659911791325,-8173.659911791325,-3554.6621466011375,0.0,184.0,-3567.856318930053,-3468.959672070823,-3468.959672070823
53000.0,36000.0,110.0,-777.620929018613,8.128873716856457,10911.8535695,-196724.05724563476,-550264.3192327975,-5745.770507578647,-5745.770507578647,-3587.687725185531,0.0,184.0,-3591.873958383721,-3516.6739916515085,-3516.6739916515085
58000.0,36000.0,110.0,-804.1874049625525,15.48002841617489,18271.010628,-191125.376560971,-550261.8874081465,-9342.183105110225,-9342.183105110225,-3576.587989648473,0.0,184.0,-3568.4982375833547,-3516.9949509781586,-3516.9949509781586
63000.0,36000.0,110.0,-802.5170977745885,31.1030582453661,20808.650993,-186532.638174735,-550273.258350663,-13892.136229952499,-13892.136229952499,-3547.7834028574794,0.0,184.0,-3497.7291565289534,-3470.1142293985563,-3470.1142293985563
68000.0,36000.0,110.0,-800.950288068957,17.441025787548856,21823.707139,-181656.8650817105,-550290.822451628,-10193.250976174455,-10193.250976174455,-3403.760468902511,0.0,184.0,-3379.5667152205187,-3382.548924737262,-3382.548924737262
73000.0,72000.0,110.0,-793.9797238528536,2.850217991542685,21823.707139,-176692.70066791849,-550294.588369987,-5323.71826149952,-5323.71826149952,-3000.4962538285986,0.0,95.0,-3215.1609897447365,-3263.883004383338,-3263.883004383338
78000.0,72000.0,110.0,-771.2884514099035,6.485044754176711,17763.482555,-171692.1746556415,-550296.510902944,-8522.530028966761,-8522.530028966761,-2789.262617361311,0.0,95.0,-3042.464490962289,-3123.7004357258443,-3123.7004357258443
83000.0,72000.0,110.0,-775.468812759868,1.9644999766228899,12688.201825,-167982.322522851,-550294.9287862635,-3999.75781232667,-3999.75781232667,-2770.059559500649,0.0,95.0,-2879.8784362601746,-2971.5851861538417,-2971.5851861538417
88000.0,72000.0,110.0,-752.368494404442,11.328105778821401,12688.201825,-161746.47421347152,-550291.2816547045,-7870.387695005,-7870.387695005,-2731.653443779324,0.0,95.0,-2727.4028256383913,-2817.121223056392,-2817.121223056392
93000.0,72000.0,110.0,-734.1774823822166,2.45935486971158,15225.84219,-156705.686845358,-550289.7810036719,-3959.24951154682,-3959.24951154682,-2511.170630899803,0.0,95.0,-2585.03765909694,-2669.700834474775,-2669.700834474775
98000.0,72000.0,110.0,-711.6026618383695,31.407435998670096,23346.291358000002,-151568.3378581055,-550286.4810695669,-13681.65039011605,-13681.65039011605,-2407.7047491913445,0.0,95.0,-2452.782936635821,-2532.3908899734897,-2532.3908899734897
103000.0,72000.0,110.0,-706.0099654851595,18.89519626381845,19793.594847,-146003.748892537,-550284.776231347,-10102.73974570882,-10102.73974570882,-2390.460435573268,0.0,95.0,-2330.638658255034,-2405.1913895525367,-2405.1913895525367
108000.0,90000.0,110.0,-708.9868005776166,28.9978825534037,15733.370263,-140393.1196186985,-550280.808385917,-10542.12158163112,-10542.12158163112,-2384.7123310339093,0.0,90.0,-2218.604823954578,-2288.1023332119153,-2288.1023332119153
113000.0,108000.0,110.0,-714.1388402132565,1.493962017392565,13195.729898000001,-136732.5222419295,-550273.94031988,-1757.746215724705,-1757.746215724705,-2332.9793901796797,0.0,85.0,-2116.681433734456,-2181.123720951626,-2181.123720951626
18000.0,0.0,110.0,-637.9776359827711,2.396527070692375,17255.954482,-232962.7134116205,-550273.3589910001,-4722.903808395349,-4722.903808395349,-2428.489916873329,1.0,89.0,,,
54000.0,36000.0,110.0,-786.226059548267,15.011728295652905,15225.84219,-195101.4689051485,-550263.648634466,-8612.694335604265,-8612.694335604265,-3590.99028304397,1.0,184.0,,,
90000.0,72000.0,110.0,-745.493117810319,4.2855806094672095,17763.482555,-159807.1473884515,-550290.0843892045,-5046.179687290395,-5046.179687290395,-2669.243505732171,1.0,95.0,,,
126000.0,108000.0,110.0,-615.73597160746,3.68776520031585,9643.033387,-124210.738527476,-550243.776859317,-3138.32519516903,-3138.32519516903,-1898.9974974580887,1.0,85.0,,,
33000.0,0.0,130.0,-750.1087230050084,3.41876324702851,14007.49604,-157920.470917608,-569865.461642056,-4776.365234174745,-4776.365234174745,-2204.0907623283256,0.0,101.0,-2189.0198363434806,-2240.8646761337122,-2240.8646761337122
38000.0,36000.0,130.0,-767.1169231654875,7.807931203765255,16108.620446,-164339.53128208301,-569761.8182342765,-6438.86279271086,-6438.86279271086,-2128.398890595963,0.0,64.0,-2120.92902901587,-2167.919477135258,-2167.919477135258
43000.0,36000.0,130.0,-771.5269177742975,2.12168947666445,15583.3393445,-167245.088935226,-569769.910755075,-4655.677978319554,-4655.677978319554,-2122.5764389242427,0.0,64.0,-2062.5470050299473,-2104.683061478492,-2104.683061478492
48000.0,36000.0,130.0,-731.949356497896,8.030207380932584,23987.8369685,-173831.400645972,-569826.338932983,-8029.704833671334,-8029.704833671334,-2105.109083909082,0.0,64.0,-2013.8737643857123,-2051.1554291634134,-2051.1554291634134
53000.0,36000.0,130.0,-711.280387291639,7.132100926772495,20836.1503595,-178033.21446026902,-569860.5703658075,-7073.207763391974,-7073.207763391974,-2052.7070188636,0.0,64.0,-1974.9093070831643,-2007.336580190021,-2007.336580190021
58000.0,36000.0,130.0,-697.0687766994236,5.352503168897015,18209.744852,-183280.828598504,-569920.913187736,-5514.200683367915,-5514.200683367915,-1955.262785723884,0.0,64.0,-1945.6536331223035,-1973.226514558317,-1973.226514558317
63000.0,36000.0,130.0,-685.581363467753,7.4264752687501705,19260.307055,-188508.93846665634,-569985.2113996029,-6238.758219150091,-6238.758219150091,-1953.154998806778,0.0,64.0,-1926.1067425031301,-1948.7969378727182,-1948.7969378727182
68000.0,36000.0,130.0,-684.905854614173,5.18964532596348,14007.49604,-190841.10178315666,-570012.228278583,-4491.30061829921,-4491.30061829921,-1952.9070238753538,0.0,64.0,-1916.2686352256442,-1933.085840683442,-1933.085840683442
73000.0,72000.0,130.0,-685.588150934389,4.48882600157925,13482.2149385,-197967.645818602,-570098.1618042269,-5241.380615018005,-5241.380615018005,-1941.8721394269749,0.0,111.0,-1915.9695449163546,-1924.6785032113958,-1924.6785032113958
78000.0,72000.0,130.0,-683.563202195819,6.821679065192706,10155.434629,-201663.74287171202,-570141.5949049243,-5098.817545361487,-5098.817545361487,-1941.2522020984143,0.0,111.0,-1919.6071812500545,-1922.1602056774875,-1922.1602056774875
83000.0,72000.0,130.0,-681.160579443636,9.235667580971402,10505.62203,-204996.558169386,-570180.3459804107,-5423.536946391893,-5423.536946391893,-1941.0042271669902,0.0,111.0,-1924.4652822508883,-1924.1162283026251,-1924.1162283026251
88000.0,72000.0,130.0,-682.2411151868885,2.8954941920871047,4552.436213,-212267.397798844,-570266.8879897285,-2285.58068836266,-2285.58068836266,-1935.9207410727931,0.0,111.0,-1930.5438479188547,-1929.1318513077156,-1929.1318513077156
93000.0,72000.0,130.0,-681.174222521107,45.7691588396642,20310.869258,-218017.116142467,-570312.9802647305,-4892.401366983226,-4892.401366983226,-1945.8606480010671,0.0,111.0,-1937.8428782539536,-1935.8206493092478,-1935.8206493092478
98000.0,72000.0,130.0,-687.6379445443905,35.260876589643416,14532.777141499999,-224907.40706574148,-570188.449338652,-6331.3903806052,-6331.3903806052,-1977.1014210102398,0.0,111.0,-1946.362373256186,-1943.7299119779136,-1943.7299119779136
103000.0,72000.0,130.0,-694.6380873435064,49.930577258748244,17684.4637505,-228035.096432413,-570132.29234485,-10571.248534755101,-10571.248534755101,-1977.5747660558336,0.0,111.0,-1956.1023329255509,-1952.859639313712,-1952.859639313712
108000.0,90000.0,130.0,-673.9677635762171,15.06787154018785,20310.869258,-232965.5153784235,-570045.955614229,-5234.65600564323,-5234.65600564323,-1979.4681462382077,0.0,96.5,-1967.0627572620483,-1963.2098313166434,-1963.2098313166434
113000.0,108000.0,130.0,-666.0656709337491,7.018341679827101,10855.809431000001,-238088.351309603,-569956.9902457665,-3231.35949692362,-3231.35949692362,-2006.4488138370389,0.0,82.0,-1979.2436462656792,-1974.7804879867074,-1974.7804879867074
18000.0,0.0,130.0,-719.7878339729455,1.9754549445183298,7704.122821999999,-143447.4605150575,-570168.0293811735,-3774.284545732925,-3774.284545732925,-2451.544958376435,1.0,101.0,,,
