Distance,Distance_36k,Line,ANTOSTRAT_basement,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,oib_basement,oib_basement_filt,filt_clip
218000.0,216000.0,404.65,,-618.2665771076461,5.769041513689725,3899.3140697500003,-251801.072286619,-1089718.81454823,-1173.19903556919,-1173.19903556919,-1107.5911836018804,0.0,73.0,-848.5769984892871,-933.478747938466,-933.478747938466
223000.0,216000.0,404.65,,-613.353579203823,4.466735875014409,3899.31406975,-246589.464915527,-1089779.7372587798,-2542.0832159984884,-2542.0832159984884,-777.4320518493154,0.0,73.0,-713.1384512783434,-830.9706926911113,-830.9706926911113
228000.0,216000.0,404.65,,-607.2169720131715,3.9318408605879247,2126.8985835000003,-240539.7121485725,-1089837.16771249,-3341.840698091665,-3341.840698091665,-766.4267474575632,0.0,73.0,-635.2798730317868,-747.695564829403,-747.695564829403
233000.0,216000.0,404.65,,-604.0377995765571,1.24780297152571,9216.5605285,-236666.0049524105,-1089838.38033264,-2476.667602418535,-2476.667602418535,-656.3737035400417,0.0,73.0,-615.0012637496168,-701.9138603432172,-701.9138603432172
238000.0,216000.0,404.65,,-599.9090036024174,18.159327717776033,8507.594334,-231273.618147352,-1089896.0708638849,-7400.766845411915,-7400.766845411915,-688.7132222077012,0.0,73.0,-652.3026234318332,-710.4252355432405,-710.4252355432405
243000.0,216000.0,404.65,,-597.571668498065,30.23728576367735,8862.07743125,-226980.71281240752,-1089929.7859629048,-10456.9550777278,-10456.9550777278,-721.4169533025283,0.0,73.0,-747.1839520784365,-776.2017890982535,-776.2017890982535
248000.0,216000.0,404.65,,-596.3888959780455,32.3437361085958,5671.729556,-222431.669448632,-1090006.89199233,-8979.976562154006,-8979.976562154006,-775.9231717939069,0.0,73.0,-899.6452496894266,-888.5406402887562,-888.5406402887562
253000.0,252000.0,404.65,,-595.5505625398923,12.6064405694858,8862.07743125,-214331.7269351795,-1090095.8694304875,-4806.517638958852,-4806.517638958852,-936.7165163434736,0.0,104.0,-1107.797772608421,-1031.7022586448963,-1031.7022586448963
258000.0,252000.0,404.65,,-595.2171260010275,11.9744655410856,9216.5605285,-211817.525648262,-1090117.2973811151,-4133.378051579845,-4133.378051579845,-939.4418272680425,0.0,104.0,-1309.3129801748032,-1189.9471136968207,-1189.9471136968207
263000.0,252000.0,404.65,,-594.8836894621627,11.3424905126854,9571.04362575,-209303.3243613445,-1090138.7253317425,-3460.2384642008374,-3460.2384642008374,-942.1671381926114,0.0,104.0,-1473.9709738864565,-1347.5356749746772,-1347.5356749746772
268000.0,252000.0,404.65,,-590.9001878360835,3.6650506547481854,5317.24645875,-201574.05537743348,-1090215.4186912,-2112.94604481396,-2112.94604481396,-1310.0841130094168,0.0,104.0,-1601.7717537433805,-1488.728412008613,-1488.728412008613
273000.0,252000.0,404.65,,-587.5556508261654,145.36938375672952,9216.5605285,-196356.73093639902,-1090279.019599315,-10864.132323807451,-10864.132323807451,-1658.4114390405302,0.0,104.0,-1692.7153197455755,-1598.1005849381727,-1598.1005849381727
278000.0,252000.0,404.65,,-585.1586445902135,32.19398677126725,5317.24645875,-191849.15945751301,-1090288.392255925,-6965.914306364465,-6965.914306364465,-1727.528791333058,0.0,104.0,-1746.8016718930414,-1670.615544013003,-1670.615544013003
283000.0,264000.0,404.65,,-581.9166250543379,27.2179448130526,4726.441296666667,-186883.83879178832,-1090333.46509249,-7962.637695001774,-7962.637695001774,-1729.9286993987707,0.0,80.66666666666667,-1764.0308101857786,-1710.9821959158044,-1710.9821959158044
288000.0,276000.0,404.65,,-579.064363658901,23.6631427089679,5199.085426333333,-182400.17270941168,-1090369.77068872,-9094.081054337537,-9094.081054337537,-1730.888662625056,0.0,57.333333333333336,-1744.4027346237863,-1728.6183540119762,-1728.6183540119762
