x,y,Line,bedmap2_bed,Distance,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Distance_36k,Depth_36k
319718.206233,-1030362.75544,590.0,-753.2873155,36270.1679688,9.8231516499,14185.4022261,-8350.69824186,-2933.13269926,36000.0,-8350.69824186
319717.897639,-1030362.75522,590.0,-753.290344126,36270.4765625,23.9184273959,16142.0094297,-11692.8730464,-2933.13407745,36000.0,-11692.8730464
319621.042195,-1030362.6861,590.0,-754.240906555,36367.3320313,36.7779444768,42556.2066783,-12641.967773,-2933.55945956,,
319479.983625,-1030362.60767,590.0,-755.650988221,36508.390625,38.6177208877,44512.8138819,-13447.1083979,-2934.15422745,,
319456.405501,-1030362.59832,590.0,-755.912608805,36531.96875,44.7309907738,40599.5994747,-14253.0175776,-2934.2508751,,
319436.163314,-1030362.59423,590.0,-756.137230128,36552.2109375,17.6382594963,20055.2238369,-9964.50585899,-2934.33325759,36000.0,-9964.50585899
319400.651596,-1030362.58706,590.0,-756.53129314,36587.7226563,31.5578817222,43534.5102801,-11152.8037105,-2934.47639776,,
319337.362535,-1030362.57682,590.0,-757.233604256,36651.0117188,23.4356371041,23968.4382441,-11944.4999996,-2934.72720704,36000.0,-11944.4999996
319298.858629,-1030362.57232,590.0,-757.660884704,36689.515625,14.2625425983,20055.2238369,-9866.72753869,-2934.87714779,36000.0,-9866.72753869
319241.850817,-1030362.56416,590.0,-758.29349926,36746.5234375,31.785466711,26903.3490495,-12433.9228511,-2935.09550459,,
319067.542241,-1030362.49337,590.0,-760.227638835,36920.8320313,60.2378522151,35708.0814657,-16603.0761713,-2935.73678084,,
319067.11646,-1030362.49302,590.0,-760.232362733,36921.2578125,2.25508192378,17120.3130315,-3276.48632798,-2935.73829923,36000.0,-3276.48632798
319066.553961,-1030362.49256,590.0,-760.238603479,36921.8203125,24.998204638,20055.2238369,-11281.1357418,-2935.74030484,36000.0,-11281.1357418
319061.628181,-1030362.48854,590.0,-760.293253365,36926.7460938,43.1345025351,34729.7778639,-14663.3251948,-2935.75785137,,
318972.804005,-1030362.40297,590.0,-761.278688992,37015.5703125,19.23456903,48426.0282891,-7303.77441377,-2936.06913161,,
318856.393982,-1030362.22911,590.0,-762.569982219,37131.9804688,53.969379104,36686.3850675,-15667.4433588,-2936.46257772,,
