Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Mag_anom_draped_1000,Susc,Window_Width,x,y,Z_Dikes,Depth
404.59,,-711.779675358404,6796.4645399362,-14.3208512772901,,,329142.823996202,-1035877.50285493,,
404.59,,-712.654075956981,6915.70075993508,-14.8186727122037,,,329023.588779012,-1035877.06077422,,
404.59,,-713.528490017682,7034.93697993396,-15.3070592294027,,,328904.355260411,-1035876.26934514,,
404.59,,-714.402761486575,7154.17319993284,-15.7863837170981,,,328785.123431714,-1035875.25008442,,
404.59,,-715.276806239232,7273.40941993172,-16.2558441959355,,,328665.89407793,-1035873.98046063,,
404.59,,-716.150514677303,7392.6456399306,-16.7145145960402,,,328546.670407208,-1035872.27298542,,
404.59,,-716.806890633255,7511.88185992948,-17.1623564148314,,,328427.458652905,-1035869.89012471,,
404.59,,-717.322980218172,7631.11807992836,-17.5993560987476,,,328308.265567033,-1035866.70829685,,
404.59,,-717.837989811265,7750.35429992724,-18.0242783454279,,,328189.092632389,-1035862.83484037,,
404.59,,-718.351824212658,7869.59051992613,-18.4351662384703,,,328069.933741993,-1035858.54322945,,
404.59,,-718.864544120677,7988.82673992501,-18.8312725567677,,,327950.77937619,-1035854.12584688,,
404.59,,-719.376296179184,8108.06295992389,-19.2138932596512,,,327831.621420959,-1035849.80740716,,
404.59,,-719.887288571919,8227.29917992277,-19.5849761394369,,,327712.453791049,-1035845.76770583,,
404.59,,-720.397773876194,8346.53539992165,-19.9456160719557,,,327593.272629938,-1035842.15274782,,
404.59,,-720.873326783762,8465.77161992053,-20.2959889975513,,,327474.076233394,-1035839.08676245,,
404.59,,-721.224364497396,8585.00783991941,-20.6362971800985,,,327354.86561456,-1035836.63583564,,
404.59,,-721.576050088585,8704.24405991829,-20.9670713654756,,,327235.644139697,-1035834.78369481,,
404.59,,-721.928310901196,8823.48027991717,-21.2885476982367,,,327116.415419256,-1035833.47014443,,
404.59,,-722.28103575862,8942.71649991605,-21.6002426504256,,,326997.182555201,-1035832.59603178,,
404.59,,-722.634073706961,9061.95271991493,-21.9012329305152,,,326877.947767612,-1035832.02093815,,
404.59,,-722.987294523058,9181.18893991381,-22.1908631561023,,,326758.712236177,-1035831.62159083,,
404.59,,-723.340695336587,9300.42515991269,-22.4693175880035,,,326639.47628388,-1035831.39615123,,
404.59,,-723.694364609228,9419.66137991157,-22.737496421597,,,326520.240170663,-1035831.43147787,,
404.59,,-724.081214159755,9538.89759991046,-22.9959248116279,,,326401.004608063,-1035831.79008468,,
404.59,,-724.475229279594,9658.13381990934,-23.2437546336799,,,326281.770261578,-1035832.4497562,,
404.59,,-724.869665065678,9777.37003990822,-23.4793687733767,,,326162.537128971,-1035833.30535833,,
404.59,,-725.264486768076,9896.6062599071,-23.7018227089053,,,326043.304946904,-1035834.28568897,,
404.59,,-725.659694663094,10015.842479906,-23.9114402717139,,,325924.07360178,-1035835.36287266,,
404.59,,-726.055323459415,10135.0786999049,-24.1091805353818,,,325804.843167092,-1035836.53709817,,
404.59,,-726.451340673455,10254.3149199037,-24.2958166713222,,,325685.613335701,-1035837.77133778,,
404.59,,-726.847709141117,10373.5511399026,-24.4713117610024,,,325566.383815077,-1035839.03520299,,
404.59,,-727.314192134311,10492.7873599015,-24.6359282583898,,,325447.154806407,-1035840.34619777,,
404.59,,-727.868304241008,10612.0235799004,-24.7900950956266,,,325327.927007367,-1035841.7625211,,
404.59,,-728.422404335865,10731.2597998993,-24.9341577824383,,,325208.701669676,-1035843.37312293,,
404.59,,-728.976540349423,10850.4960198981,-25.0677254011366,,,325089.480300555,-1035845.25495834,,
404.59,,-729.530531691728,10969.732239897,-25.1915262129431,,,324970.26251126,-1035847.35101422,,
