Distance,Distance_36k,Line,ANTOSTRAT_basement,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,oib_basement,oib_basement_filt,filt_clip,misfit,abs_misfit
83000.0,72000.0,403.1,-3284.145357295815,-493.881926479529,1.484945091903835,6907.846214499999,-351896.51668534253,-1370579.1204600502,-3960.550048656155,-3960.550048656155,-3552.3673378955627,0.0,16.0,-3521.833972162741,-3503.543136984943,-3503.543136984943,219.39777968912813,219.39777968912813
88000.0,72000.0,403.1,-3281.6870369967673,-488.2698268780785,1.4112840432193725,8163.8182535,-348871.55825066677,-1371981.181634165,-4106.828979315147,-4106.828979315147,-3553.811966394862,0.0,16.0,-3554.2692835630005,-3536.005031507861,-3536.005031507861,254.31799451109373,254.31799451109373
93000.0,72000.0,403.1,-3291.8089659579646,-482.0877275576818,2.23396030542394,4395.9021365,-342061.53952679026,-1375574.6743917824,-5030.428954869065,-5030.428954869065,-3570.5452410267853,0.0,16.0,-3585.169647697003,-3567.6728692749925,-3567.6728692749925,275.86390331702796,275.86390331702796
98000.0,72000.0,403.1,-3353.285205912085,-477.559222662293,4.19361040145256,3139.9300975,-337286.592812244,-1378350.907457355,-5605.143554458515,-5605.143554458515,-3578.008477303254,0.0,16.0,-3614.5350645647477,-3597.8057597758657,-3597.8057597758657,244.5205538637806,244.5205538637806
103000.0,72000.0,403.1,-3422.52242912822,-471.457972436376,4.347176419006375,4395.9021365,-333164.9847504915,-1380754.5566230551,-5188.653320097955,-5188.653320097955,-3585.4717135797223,0.0,16.0,-3642.365534166236,-3627.687152442719,-3627.687152442719,205.1647233144986,205.1647233144986
108000.0,90000.0,403.1,-3535.2563278386497,-463.33933367127497,17.89731154820306,6279.860195,-329517.851587628,-1382923.85248559,-7046.937743861655,-7046.937743861655,-3645.1776037914688,0.0,25.5,-3668.6610565014685,-3659.883946140022,-3659.883946140022,124.62761830137242,124.62761830137242
113000.0,108000.0,403.1,-3758.0216426196503,-495.65359614293095,5.934398607659944,5023.888156,-324505.2895560945,-1385846.0631162,-4569.239501760056,-4569.239501760056,-3779.515856767899,0.0,35.0,-3701.122328163858,-3696.9630397322476,-3696.9630397322476,-61.058602887402685,61.058602887402685
118000.0,108000.0,403.1,-3888.385582149855,-512.676132298036,1.79607819466195,6907.846214499999,-321571.7047773485,-1387566.08577656,-3891.62939436167,-3891.62939436167,-3786.979093044368,0.0,35.0,-3747.45004574682,-3741.4913320838664,-3741.4913320838664,-146.89425006598867,146.89425006598867
123000.0,108000.0,403.1,-4093.4319000039504,-526.4415633334277,2.1582778118458252,6279.860194999999,-315843.13180264697,-1390932.8412767048,-5499.880981219974,-5499.880981219974,-3846.6849832561147,0.0,35.0,-3807.644209250354,-3796.03572205935,-3796.03572205935,-297.39617794460037,297.39617794460037
128000.0,108000.0,403.1,-4230.82298206869,-522.0693770207793,1.786345184686555,7535.8322339999995,-310602.969201579,-1393996.734442735,-6700.251342506484,-6700.251342506484,-3856.2430439284944,0.0,35.0,-3881.70481867446,-3863.1631085231706,-3863.1631085231706,-367.65987354551953,367.65987354551953
133000.0,108000.0,403.1,-4306.421118303895,-520.5785889037275,1.56979983550792,8791.804273,-307327.5130037835,-1395901.045514165,-7304.562987993349,-7304.562987993349,-3867.895928996787,0.0,35.0,-3969.631874019139,-3944.1569409075623,-3944.1569409075623,-362.2641773963328,362.2641773963328
