Line,_Plotflag,ANTOSTRAT_basement,ANTOSTRAT_basement_tracklines,bedmap2_bed,Calc_HGrad,Depth_sl,Depth_sl_cluster_750_5,Dike0_Cont1,Dip,Dist_Index,Distance,Elev_1000,FAG070,Mag_anom_draped_1000,Susc,Window_Width,x,y,Z_Both,Z_Contacts,Z_Dikes,Depth
650.0,,,,-409.932109290544,0.014318136498332,,,,,26022.0,881910.047566357,1000.0,,-898.51326259276,,,-504659.498265644,-1090324.28247581,,,,
650.0,,,,-409.457782916585,0.0144021492451429,,,,,26023.0,882001.913196312,1000.0,,-897.194348431427,,,-504751.363865424,-1090324.20809347,,,,
650.0,,,,-408.983569354128,0.0145198330283165,,,,,26024.0,882093.778826267,1000.0,,-895.866077376233,,,-504843.229458331,-1090324.12563377,,,,
650.0,,,,-408.509450537317,0.0146547108888626,,,,,26025.0,882185.644456222,1000.0,,-894.526054657999,,,-504935.095044669,-1090324.03611441,,,,
650.0,,,,-408.035303427383,0.0148027697578073,,,,,26026.0,882277.510086177,1000.0,,-893.173180004729,,,-505026.960631749,-1090323.94736038,,,,
650.0,,,,-407.561053865091,0.0149466544389725,,,,,26027.0,882369.375716132,1000.0,,-891.806446291701,,,-505118.82622407,-1090323.86420614,,,,
650.0,,,,-407.086670289803,0.015066210180521,,,,,26028.0,882461.241346086,1000.0,,-890.427713240233,,,-505210.691823069,-1090323.78881678,,,,
650.0,,,,-406.612184423113,0.0151556674391031,,,,,26029.0,882553.106976041,1000.0,,-889.039269664687,,,-505302.55742666,-1090323.71924619,,,,
650.0,,,,-406.137633302406,0.0152064580470324,,,,,26030.0,882644.972605996,1000.0,,-887.644324242258,,,-505394.423032827,-1090323.65314891,,,,
650.0,,,,-405.662983253445,0.015212818980217,,,,,26031.0,882736.838235951,1000.0,,-886.24670471557,,,-505486.288642933,-1090323.59283155,,,,
650.0,,,,-404.434406407476,0.0151684796437621,,,,,26032.0,882828.703865906,1000.0,,-884.850809005441,,,-505578.154252348,-1090323.53142898,,,,
650.0,,,,-403.073819711687,0.0150684118270874,,,,,26033.0,882920.56949586,1000.0,,-883.461510112975,,,-505670.019848547,-1090323.45354814,,,,
650.0,,,,-401.713630038822,0.0149110602214932,,,,,26034.0,883012.435125815,1000.0,,-882.084015033117,,,-505761.885419755,-1090323.35061055,,,,
650.0,,,,-400.353854419438,0.0146937798708677,,,,,26035.0,883104.30075577,1000.0,,-880.723721528857,,,-505853.750958668,-1090323.22196364,,,,
650.0,,,,-398.99449331009,0.0144147193059325,,,,,26036.0,883196.166385725,1000.0,,-879.386222399882,,,-505945.616458672,-1090323.068043,,,,
650.0,,,,-397.635535587748,0.014077945612371,,,,,26037.0,883288.03201568,1000.0,,-878.077039947596,,,-506037.481915432,-1090322.89001713,,,,
650.0,,,,-396.276903395886,0.0136830108240247,,,,,26038.0,883379.897645635,1000.0,,-876.801469370989,,,-506129.34733453,-1090322.69328814,,,,
650.0,,,,-394.918513222808,0.0132316220551729,,,,,26039.0,883471.763275589,1000.0,,-875.564779156002,,,-506221.212724669,-1090322.48348871,,,,
650.0,,,,-393.560377908725,0.0127333272248507,,,,,26040.0,883563.628905544,1000.0,,-874.371802530124,,,-506313.078082769,-1090322.26003742,,,,
650.0,,,,-392.20240135693,0.0121940905228257,,,,,26041.0,883655.494535499,1000.0,,-873.226503432918,,,-506404.943422638,-1090322.02920098,,,,
650.0,,,,-390.844288094569,0.0116243660449982,,,,,26042.0,883747.360165454,1000.0,,-872.132351178955,,,-506496.808789644,-1090321.80953858,,,,
650.0,,,,-389.590274245615,0.0109903188422322,,,,,26043.0,883839.225795409,1000.0,,-871.092692690554,,,-506588.674223463,-1090321.61970641,,,,
650.0,,,,-388.339416391151,0.0103151258081198,,,,,26044.0,883931.091425364,1000.0,,-870.114308780091,,,-506680.539733213,-1090321.47109534,,,,
650.0,,,,-387.088083843446,0.0097034219652414,,,,,26045.0,884022.957055318,1000.0,,-869.195581411265,,,-506772.405288727,-1090321.35444406,,,,
650.0,,,,-385.836584965897,0.0090184547007083,,,,,26046.0,884114.822685273,1000.0,,-868.333770452801,,,-506864.270859552,-1090321.25028772,,,,
650.0,,,,-384.585083086284,0.0083338189870119,,,,,26047.0,884206.688315228,1000.0,,-867.538596189269,,,-506956.136433192,-1090321.14857015,,,,
650.0,,,,-383.333644076642,0.0077191386371851,,,,,26048.0,884298.553945183,1000.0,,-866.800390570078,,,-507048.002005167,-1090321.04536258,,,,
650.0,,,,-382.082316705881,0.0070694563910365,,,,,26049.0,884390.419575138,1000.0,,-866.121398856902,,,-507139.867572225,-1090320.93789236,,,,
650.0,,,,-380.831116721766,0.0064439922571182,,,,,26050.0,884482.285205093,1000.0,,-865.500793182682,,,-507231.733133259,-1090320.82539302,,,,
650.0,,,,-379.580019302225,0.005832377821207,,,,,26051.0,884574.150835047,1000.0,,-864.936983136841,,,-507323.59869001,-1090320.70942711,,,,
650.0,,,,-378.32902471384,0.0052348366007208,,,,,26052.0,884666.016465002,1000.0,,-864.42875846406,,,-507415.464242421,-1090320.59008691,,,,
650.0,,,,-377.063416260002,0.0046488908119499,,,,,26053.0,884757.882094957,1000.0,,-863.974823812877,,,-507507.329794692,-1090320.47064524,,,,
650.0,,,,-375.628605076151,0.0040642679668963,,,,,26054.0,884849.747724912,1000.0,,-863.574607098421,,,-507599.195358601,-1090320.36084258,,,,
650.0,,,,-374.193484734194,0.0034727239981293,,,,,26055.0,884941.613354867,1000.0,,-863.228330390387,,,-507691.060943001,-1090320.2700388,,,,
650.0,,,,-372.757963112108,0.0028716621454805,,,,,26056.0,885033.478984821,1000.0,,-862.936799365856,,,-507782.926547532,-1090320.20263267,,,,
650.0,,,,-371.321969736075,0.0022518003825098,,,,,26057.0,885125.344614776,1000.0,,-862.701277300185,,,-507874.792167418,-1090320.16169944,,,,
650.0,,,,-369.885356921806,0.0016070469282567,,,,,26058.0,885217.210244731,1000.0,,-862.523890678436,,,-507966.657796309,-1090320.15427488,,,,
650.0,,,,-368.448053912431,0.0009132281411439,,,,,26059.0,885309.075874686,1000.0,,-862.407545300637,,,-508058.523421564,-1090320.18310477,,,,
650.0,,,,-367.010180266482,0.0001455640303902,,,,,26060.0,885400.941504641,1000.0,,-862.358365261392,,,-508150.389033297,-1090320.24096622,,,,
