Distance,Distance_36k,x,y,Line,bedmap2_bed,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
158000.0,144000.0,218613.00218,-1092791.575275,650.0,-764.4671592535,6.14204989974,15157.8289417,-6942.68261691,-3008.367841475,-6942.68261691,-4100.282735570068,0.0,152.0,-4204.66270729218,-4253.826746338698,-4253.826746338698
163000.0,144000.0,214179.902528,-1092774.95774,650.0,-746.076352981,3.08199975584,21588.423038200002,-5823.510986095,-3053.112240585,-5823.510986095,-4135.906233693395,0.0,152.0,-4141.837808773296,-4186.160505150612,-4186.160505150612
168000.0,144000.0,209137.6295985,-1092757.41113,650.0,-727.4775441950001,2.93358355498,23425.73563725,-6123.7045896,-3078.7948512350004,-6123.7045896,-4119.931527253637,0.0,152.0,-4088.695595592817,-4128.176949300931,-4128.176949300931
173000.0,144000.0,203421.857419,-1092733.0016899998,650.0,-707.0577250475001,2.79937180513,13320.51634275,-7581.64282197,-3077.0793744250004,-7581.64282197,-4103.457611237636,0.0,152.0,-4045.2360677507445,-4080.330152331106,-4080.330152331106
178000.0,156000.0,199466.46254433334,-1092717.5301666667,650.0,-693.5939242356667,1.40115205857,12401.8600432,-5003.086425573334,-3065.7239636766667,-5003.086425573334,-4102.542393681192,0.0,147.33333333333334,-4011.4592252470766,-4044.940934564114,-4044.940934564114
183000.0,168000.0,196487.79488166666,-1092705.7150233332,650.0,-683.6074587053333,1.48612936546,11483.2037437,-4964.723632606667,-3056.5138998533334,-4964.723632606667,-4102.375990489111,0.0,142.66666666666666,-3990.0895093305235,-4024.5319267857944,-4024.5319267857944
188000.0,180000.0,189153.75749699998,-1092676.906555,650.0,-660.9261421755,3.964607576265,15157.8289417,-6719.51806614,-3039.6008705,-6719.51806614,-4099.963144203939,0.0,138.0,-3992.3274006902234,-4021.6257597819917,-4021.6257597819917
193000.0,180000.0,183894.7569175,-1092657.321935,650.0,-648.603699112,1.60781379873,16076.48524125,-4691.11328105,-3035.80498081,-4691.11328105,-4084.9868569166665,0.0,138.0,-4019.3837621033827,-4038.745064338547,-4038.745064338547
198000.0,180000.0,179168.8459855,-1092641.85774,650.0,-642.3383836985,3.056716243455,24344.3919367,-5593.9204099300005,-3034.448645925,-5593.9204099300005,-4071.25859357,0.0,138.0,-4071.258593569999,-4078.412471241302,-4078.412471241302
203000.0,180000.0,174189.95848650002,-1092628.949385,650.0,-637.5162924275,13.089532120145,17454.469690525002,-9405.490478135,-3036.10631432,-9405.490478135,-4284.585891895828,0.0,138.0,-4147.951895090075,-4142.696537734649,-4142.696537734649
