Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Susc,Window_Width,x,y,Depth,Distance_36k,Depth_36k
403.3,-1058.68766532105,-599.579982810378,429058.53125,0.0981227072730069,8723.7670975,-54433.8850977031,-1791961.61203225,-2125.38671864165,,
403.3,-1059.15753196644,-600.722095422144,429199.75,0.0079756321798309,1342.118015,-54555.3021082854,-1791889.49655058,-600.722095422144,,
403.3,-1059.24816988711,-600.964185512063,429227.5625,0.183262309565709,10065.8851125,-54579.2104065389,-1791875.28640009,-3192.6479490734,,
403.3,-1059.27360385203,-601.032791449065,429235.4375,0.850004157245242,18118.5932025,-54585.9778786525,-1791871.25937312,-4785.64111308068,,
403.3,-1059.32755897768,-601.17871516596,429252.1875,0.0044532314669882,2013.1770225,-54600.372184418,-1791862.69395069,-601.17871516596,,
403.3,-1059.55787119826,-601.807602482069,429324.375,0.270016511629301,18789.65221,-54662.4073454595,-1791825.77953682,-1572.9072264733,,
403.3,-1060.84520713816,-605.569633103179,429755.53125,0.0890558240633839,9394.826105,-55032.7205873946,-1791604.95427108,-2114.10888661079,,
403.3,-1062.59370040468,-613.364841688499,430421.875,0.300457409334601,6710.590075,-55605.2154572043,-1791263.97984544,-4813.7651365172,,
403.3,-1062.95759205793,-616.085309149194,430580.0,17.9240879528276,25500.242285,-55740.9781512398,-1791182.91193534,-15047.4394525687,,
403.3,-1063.29683346485,-618.871971110856,430734.5625,0.27555238927995,19460.7112175,-55873.6863715016,-1791103.67751996,-1227.9426268758898,,
403.3,-1063.38958207853,-619.673899972782,430777.8125,1.51725356649195,18789.65221,-55910.8330680167,-1791081.52609928,-6327.94140599596,,
403.3,-1063.55433987443,-621.147849071745,430855.96875,10.3952214400997,24829.1832775,-55977.9668249271,-1791041.50788249,-11707.797851122,,
403.3,-1064.36595528662,-629.512001735242,431271.0625,0.0329259441066492,2013.1770225,-56334.6317507052,-1790829.15687678,-1685.69287100064,,
403.3,-1064.40686710354,-629.99185328433,431293.59375,8.8084311430352,23487.0652625,-56353.9955286512,-1790817.63727044,-10898.14160115,,
403.3,-1065.2926395662,-645.31650499997,431827.71875,11.0814690231547,26171.3012925,-56813.3143361686,-1790545.02831654,-12502.7246089069,,
403.3,-1065.6451144233,-653.136470085497,432071.8125,0.0757088274795658,6039.5310675,-57023.4210070083,-1790420.78286053,-2525.09912097154,,
403.3,-1065.73351129868,-655.204303017204,432136.3125,0.0187257876356785,3355.2950375,-57078.9719107913,-1790388.00562623,-1069.16918938139,,
403.3,-1065.74746285955,-655.537939427483,432146.6875,8.15743799837006,25500.242285,-57087.9074243844,-1790382.73331916,-10576.8935542862,,
403.3,-1065.82097810796,-657.327432922032,432202.1875,0.0493708335476458,4697.4130525,-57135.7091503095,-1790354.53323118,-1971.2072752876202,,
403.3,-1066.02351916474,-662.575214000143,432363.53125,0.031956963819607,2684.23603,-57274.6862040375,-1790272.57480147,-1538.57421866199,,
403.3,-1066.32459760324,-671.703376252153,432637.0625,9.67728790808418,26842.3603,-57510.2779937821,-1790133.59332015,-11684.5048823728,,
403.3,-1066.35458617179,-672.908698235971,432667.40625,18.7925082695473,20131.770225,-57536.4094363849,-1790118.16960881,-15077.3427728801,,
403.3,-1066.45985138169,-677.388375588844,432780.0,32.8729445980281,30197.6553375,-57633.3659414484,-1790060.92636943,-18155.0488274609,,
403.3,-1066.48596128842,-678.56893144698,432809.625,7.1163549273718,22144.9472475,-57658.8745282171,-1790045.8614225,-10294.5253902334,,
403.3,-1066.48718565976,-678.624989590013,432811.03125,6.38481908867192,24158.12427,-57660.0853788549,-1790045.14631426,-9543.5664058845,,
403.3,-1067.52830186645,-685.759675333682,432989.65625,8.15690467249397,26171.3012925,-57813.8911502919,-1789954.31308632,-10487.2275386643,,
403.3,-1070.39367889933,-696.545163579024,433258.375,10.0242233816456,27513.4193075,-58045.2880391185,-1789817.6922738,-11700.9999995597,,
